:START_ID,:END_ID,:TYPE
reference_crypt_BarretoR11,Paulo S. L. M. Barreto,WRITES
reference_crypt_BarretoR11,Vincent Rijmen,WRITES
reference_crypt_Contini11c,Scott Contini,WRITES
reference_crypt_HankersonM11c,Darrel Hankerson,WRITES
reference_crypt_HankersonM11c,Alfred Menezes,WRITES
reference_crypt_Fontaine11,Caroline Fontaine,WRITES
reference_crypt_Kaliski11a,Burt Kaliski,WRITES
reference_crypt_Quisquater05,Jean-Jacques Quisquater,WRITES
reference_crypt_Preneel05a,Bart Preneel,WRITES
reference_crypt_Paillier05,Pascal Paillier,WRITES
reference_crypt_BlakleyK11b,G. R. Blakley,WRITES
reference_crypt_BlakleyK11b,Gregory A. Kabatiansky,WRITES
reference_crypt_Sunar05a,Berk Sunar,WRITES
reference_crypt_Biryukov11aa,Alex Biryukov,WRITES
reference_crypt_Desmedt11i,Yvo Desmedt,WRITES
reference_crypt_Bleumer05c,Gerrit Bleumer,WRITES
reference_crypt_Kaliski05d,Burton S. Kaliski Jr.,WRITES
reference_crypt_PetitQ11,Christophe Petit,WRITES
reference_crypt_PetitQ11,Jean-Jacques Quisquater,WRITES
reference_crypt_Zuccherato05a,Robert J. Zuccherato,WRITES
reference_crypt_KabatianskyS11,Gregory A. Kabatiansky,WRITES
reference_crypt_KabatianskyS11,Ben J. M. Smeets,WRITES
reference_crypt_Carlet05c,Claude Carlet,WRITES
reference_crypt_Bleumer05v,Gerrit Bleumer,WRITES
reference_crypt_Solinas11b,Jerome A. Solinas,WRITES
reference_crypt_Bleumer11,Gerrit Bleumer,WRITES
reference_crypt_Biryukov11f,Alex Biryukov,WRITES
reference_crypt_Sako11a,Kazue Sako,WRITES
reference_crypt_Boneh11,Dan Boneh,WRITES
reference_crypt_Bucci05,Marco Bucci,WRITES
reference_crypt_Vimercati11b,Sabrina De Capitani di Vimercati,WRITES
reference_crypt_Wiley11,Jeffrey J. Wiley,WRITES
reference_crypt_Bleumer11ab,Gerrit Bleumer,WRITES
reference_crypt_DesmedtY11,Yvo Desmedt,WRITES
reference_crypt_DesmedtY11,Qiushi Yang,WRITES
reference_crypt_Cachin05,Christian Cachin,WRITES
reference_crypt_Caddy05e,Tom Caddy,WRITES
reference_crypt_Capkun11a,Srdjan Capkun,WRITES
reference_crypt_Landrock05l,Peter Landrock,WRITES
reference_crypt_Liskov05c,Moses Liskov,WRITES
reference_crypt_Contini05a,Scott Contini,WRITES
reference_crypt_Schunter05a,Matthias Schunter,WRITES
reference_crypt_Videau11,Marion Videau,WRITES
reference_crypt_Schoenmakers11k,Berry Schoenmakers,WRITES
reference_crypt_Kaliski11ad,Burt Kaliski,WRITES
