name:ID,:LABEL
Rosalba Rossato,author
Andreas Schaller,author
Mohamed Wahib,author
Peter R. Lewis,author
Bart van Delft,author
Koryun Aslanyan,author
Daniel A. Keim,author
Kazuo Ohta,author
Marine Picon,author
Marcelo Dascal,author
Pericle Salvini,author
Derek G. Kamper,author
Jaesoon An,author
Leqin Zhang,author
Guiliang Tian,author
Shurong Guo,author
Matjaz Jursic,author
Giovanni Pezzulo,author
Maximilian Jaroschek,author
Ivan M. Delamer,author
Yasuhiro Katagiri,author
Markus Voelter,author
Sashidhar P. Reddi,author
Michael C. Hass,author
Jennifer Golbeck,author
U. Rajendra Acharya,author
Keith Griffin,author
Austin Tate,author
Nils Reiter,author
Toru Ishida,author
Yohei Murakami,author
James B. D. Joshi,author
Eugene H. Spafford,author
Lila Kari,author
Stephen A. Brewster,author
Mark S. Hancock,author
Wayne G. Lutters,author
Laura Polazzi,author
Samuel Cohen,author
Jan B. F. van Erp,author
Audrey Lampe Ploesser,author
Aaron Marcus,author
Jennica Falk,author
Hannah Conrad,author
Panos Georgolios,author
Adina Cocu,author
John Soldatos,author
Sebastian J. F. Fudickar,author
Marco La Cascia,author
Nitin Sukhija,author
Jean-Pierre Marquis,author
Paul Dourish,author
Mohamed Khaled Gdoura,author
Marcin Junczys-Dowmunt,author
Rumiko Matsuoka,author
Toufiq Hossain Kazi,author
Sung-Bae Cho,author
Michel Simonet,author
Fabio Roli,author
Krzysztof E. Olinski,author
Dosam Hwang,author
Judith J. Dasselaar,author
Briseida Sarasola,author
Yang Xiang,author
Luigi Portinale,author
Marcin Tatjewski,author
Annalisa Appice,author
Donato Malerba,author
Slawomir Zadrozny,author
Songsak Sriboonchitta,author
Loo Hay Lee,author
Robert Bieda,author
Lawrence J. Mazlack,author
Zhigang Tian,author
Yoosef Ramezani,author
Hendrik Richter,author
Kumara Sastry,author
Hong Linh Truong,author
David Page,author
Yee Mey Goh,author
Massimiliano Dal Mas,author
Konstantinos Markellos,author
Spiros Sirmakessis,author
Tikesh Ramtohul,author
Kay Chen Tan,author
Yoshio Watanabe,author
Stefano Ferilli,author
Sabrina Mignon,author
Yi Li 0001,author
Chrysostomos Chrysostomou,author
Deborah Gater,author
Atsushi Nomura,author
George Vafiadis,author
Dobrivoje Popovic,author
Tian-Li Yu,author
Oscar Castillo,author
Vladimir Todorov,author
Martine De Cock,author
E. Newton,author
Jingde Cheng,author
Athena Vakali,author
Piotr Czyzyk,author
Paul McMullan,author
Shyam Praveen Vudathu,author
Barna Iantovics,author
Xinbo Gao,author
Gabriella Pasi,author
Bart Van Gasse,author
Sundarapandian Vaidyanathan,author
Marta Kukier,author
Pietro Alessandro Brivio,author
Yin-Yi Han,author
Jonathon T. Giffin,author
Rami Puzis,author
Carlo Lauro,author
William F. Keane,author
Haim Levkowitz,author
Raffaello Brondi,author
Cinzia Vigna,author
Sin-Hwa Kang,author
Antonio Francomano,author
Reza Giga Isnanda,author
Jacek Kitowski,author
Maddalena Grassi,author
Christopher J. Rhodes,author
Keven Richly,author
Ueli Maurer,author
Yi Li,author
Rudolf Pailer,author
Adam Schmidt,author
Bart Goethals,author
Alfred Menezes,author
Berry Schoenmakers,author
Stefano Paraboschi,author
Alex Biryukov,author
Daniele Micciancio,author
Ran Canetti,author
Arthur J. Krener,author
David Toman,author
Irit Katriel,author
Michael Wooldridge,author
Sokratis K. Katsikas,author
Dorothea Wagner,author
Cyrille Joutard,author
Jason Cong,author
Gunnar Braun,author
Kai-Wei Fan,author
John O. Wylder,author
Joan Feigenbaum,author
Piotr Jedrzejowicz,author
Nick Kanopoulos,author
Shinsuke Sakakibara,author
Simon D. Levy,author
Diego Magro,author
Miltiades E. Anagnostou,author
Andreas Hudak,author
Joshua D. Knowles,author
Hamid R. Ekbia,author
Tania Maia Querido,author
Timothy J. Lowe,author
Anthony V. Fiacco,author
Benjamin G. Thengvall,author
Xavier Amatriain,author
Jin-Cheon Na,author
Raouf Hamzaoui,author
Sandeep K. S. Gupta,author
Jenjoab Virapanicharoen,author
Paul A. Henry,author
Qi Shi,author
Lynn Margaret Batten,author
Shaul Druckmann,author
Scott L. Hooper,author
Theodore W. Berger,author
Robert A. McDougal,author
Alain Destexhe,author
Jonathan Rubin,author
Dong Xu,author
Jan Vahrenhold,author
Yoo-Ah Kim,author
Michiel H. M. Smid,author
Jing Dai,author
Martin D. Crossland,author
Marios Hadjieleftheriou,author
Taikan Oki,author
Stephen G. Gaddy,author
Alejandro Pauly,author
Donghui Zhang,author
Peter J. Minnett,author
Ganapati P. Patil,author
Pierre Goovaerts,author
Sergio J. Rey,author
Joseph R. Cavallaro,author
Gabriele Kern-Isberner,author
Nikola Kasabov,author
Silvio Savarese,author
Howard Jay Siegel,author
Ning Zhong 0001,author
Peter J. Denning,author
Ryan Woolrych,author
Yannis S. Avrithis,author
Tinne Tuytelaars,author
Rama Chellappa,author
Wen Gao 0001,author
Yasunari Tosa,author
Matthew Lease,author
Dominic DiFranzo,author
Henry C. Thode,author
Mhamed-Ali El-Aroui,author
Martin Waldburger,author
Jussi Kangasharju,author
Luigi Villani,author
Lixin Dong,author
Oliver Brock,author
Nicolas Lachiche,author
Dunja Mladenic,author
Susan Craw,author
Kai-Uwe Sattler,author
Nevenka Dimitrova,author
Opher Etzion,author
Wee Hyong Tok,author
Djoerd Hiemstra,author
Carlotta Domeniconi,author
Yannis Manolopoulos,author
Ippokratis Pandis,author
Christian S. Jensen,author
Huan Liu 0001,author
Simon Harding,author
